"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","http://github.com","1","8216","8216","0","8216","8216","9646","9646","0","9646","9646","273","273","0","273","273","1000","1000","0","1000","1000","2150850","2150850","0","2150850","2150850","117","117","0","117","117","8216","8216","0","8216","8216","2003","2003","0","2003","2003","12400","12400","0","12400","12400","6900","6900","0","6900","6900","211025_JA_45"
"","http://wetransfer.com","2","3863","3825.5","37.5","3788","3863","6506","5209.5","1296.5","3913","6506","465","451","14","437","465","2500","2500","0","2500","2500","1674986","1674969.5","16.5","1674953","1674986","25","25","0","25","25","3863","3825.5","37.5","3788","3863","3164","3161.5","2.5","3159","3164","3900","3900","0","3900","3900","3900","3900","0","3900","3900","211025_E8_46"
"","http://zillow.com","1","3087","3087","0","3087","3087","7196","7196","0","7196","7196","1157","1157","0","1157","1157","1400","1400","0","1400","1400","744042","744042","0","744042","744042","38","38","0","38","38","3086","3086","0","3086","3086","2495","2495","0","2495","2495","3300","3300","0","3300","3300","3300","3300","0","3300","3300","211025_XT_47"
"","http://amazon.co.uk","3","3311","3334","103.75291160573","3220","3471","4995","5020.6666666667","104.06515053348","4908","5159","704","691","64.750804370808","606","763","1200","1166.6666666667","47.140452079103","1100","1200","1416784","1430183","28876.493011906","1403474","1470291","106","106.33333333333","1.2472191289246","105","108","3311","3334","103.75291160573","3220","3471","1506","1476.6666666667","50.208454356701","1406","1518","6900","6933.3333333333","205.48046676563","6700","7200","6900","6933.3333333333","205.48046676563","6700","7200","211025_B9_48"
"","http://xvideos.com","3","2748","2757.6666666667","68.519259255255","2679","2846","3148","3151.6666666667","66.594961437701","3072","3235","497","483.66666666667","37.142368739158","433","521","1000","1066.6666666667","94.280904158206","1000","1200","1125193","1129436","17986.706331807","1109837","1153278","47","46.666666666667","1.2472191289246","45","48","2748","2757.6666666667","68.519259255255","2679","2846","1879","1910.3333333333","78.317019577839","1834","2018","3200","3200","81.649658092773","3100","3300","3200","3200","81.649658092773","3100","3300","211025_AD_49"
"","http://imgur.com","3","9113","11106","3211.6171419811","8568","15637","11600","13334.333333333","2672.7397096529","11293","17110","284","298.66666666667","22.171052197755","282","330","600","566.66666666667","47.140452079103","500","600","5277150","5418693","201031.06882437","5275936","5702993","81","109.33333333333","40.778534658431","80","167","9113","11105.666666667","3211.1468702353","8568","15636","2093","2291","299.30920466969","2066","2714","3700","4066.6666666667","518.54497287013","3700","4800","3700","4066.6666666667","518.54497287013","3700","4800","211025_2H_4A"
"","http://walmart.com","3","6197","6116.6666666667","175.59865856233","5873","6280","8093","7953.6666666667","233.2971400501","7625","8143","1735","1814","347.04562620305","1434","2273","2100","2200","374.16573867739","1800","2700","2263898","2152084","188366.00044063","1886783","2305571","98","97.666666666667","2.0548046676563","95","100","6197","6116.6666666667","175.59865856233","5873","6280","2100","3066.6666666667","1583.9472494022","1800","5300","5600","5500","141.42135623731","5300","5600","1800","1300","927.36184954957","0","2100","211025_22_4B"
"","http://rednet.cn","2","22927","14052","8875","5177","22927","26493","16471","10022","6449","26493","1539","1245.5","293.5","952","1539","2800","2350","450","1900","2800","11271278","6270359.5","5000918.5","1269441","11271278","189","144.5","44.5","100","189","22927","14052","8875","5177","22927","7094","4562.5","2531.5","2031","7094","27601","16150.5","11450.5","4700","27601","27601","16150.5","11450.5","4700","27601","211025_H3_4C"
"","http://grammarly.com","1","4832","4832","0","4832","4832","5556","5556","0","5556","5556","885","885","0","885","885","1100","1100","0","1100","1100","1859886","1859886","0","1859886","1859886","64","64","0","64","64","4832","4832","0","4832","4832","3385","3385","0","3385","3385","6700","6700","0","6700","6700","6200","6200","0","6200","6200","211025_Z9_4D"
"","http://google.it","3","1572","1615","62.944419927425","1569","1704","1991","2035.3333333333","77.271527025735","1971","2144","428","460.66666666667","55.64370784035","415","539","500","533.33333333333","47.140452079103","500","600","402459","402405.66666667","98.164261430636","402268","402490","23","23","0","23","23","1572","1615","62.944419927425","1569","1704","512","572.33333333333","86.032293678337","511","694","1600","1633.3333333333","47.140452079103","1600","1700","1500","1533.3333333333","124.72191289246","1400","1700","211025_PX_4E"
"","http://savefrom.net","3","1899","1870.6666666667","86.849806498857","1753","1960","4005","4010.3333333333","74.396833863336","3922","4104","592","565.66666666667","96.927235021375","436","669","1400","1366.6666666667","124.72191289246","1200","1500","621313","621304.33333333","55.047454275581","621233","621367","57","57","0","57","57","1899","1870.6666666667","86.849806498857","1753","1960","1681","1663.3333333333","70.919359525841","1569","1740","3600","3633.3333333333","47.140452079103","3600","3700","3600","3633.3333333333","47.140452079103","3600","3700","211025_TC_4F"
"","http://pikiran-rakyat.com","3","3971","4030","866.08352176142","3000","5119","14696","14741","1085.9984653151","13434","16093","1207","1091","483.83743826482","449","1617","1600","1466.6666666667","498.88765156986","800","2000","1077975","1077949.3333333","61.135550668621","1077865","1078008","75","75.333333333333","0.47140452079103","75","76","3971","4030","866.08352176142","3000","5119","3911","3584.6666666667","697.76420722826","2615","4228","13300","13100","355.90260840104","12600","13400","12600","12833.333333333","329.98316455372","12600","13300","211025_NZ_4G"
"","http://bbc.com","3","3915","4120","939.20214366592","3086","5359","5592","5746.3333333333","372.73434090366","5387","6260","342","337.66666666667","52.753093642827","271","400","900","833.33333333333","94.280904158206","700","900","1448894","1693154.3333333","471929.90310874","1277391","2353178","83","83","12.247448713916","68","98","3915","4120","939.20214366592","3086","5359","2140","2163.6666666667","263.85138914843","1853","2498","4700","4700","653.19726474218","3900","5500","4700","4700","653.19726474218","3900","5500","211025_EV_4H"
"","http://stackoverflow.com","3","1773","1809.3333333333","52.091799311941","1772","1883","2019","2071.6666666667","77.327585993328","2015","2181","441","453.33333333333","19.601587237319","438","481","1100","1066.6666666667","47.140452079103","1000","1100","604799","604814","81.121308339219","604723","604920","45","45","0","45","45","1773","1809","51.620409400417","1772","1882","1140","1110","46.007245806141","1045","1145","4100","4133.3333333333","47.140452079103","4100","4200","4100","4133.3333333333","47.140452079103","4100","4200","211025_WH_4J"
