"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","http://gmw.cn","3","9304","9118.6666666667","592.7480259117","8318","9734","10233","9963.6666666667","382.30993825545","9423","10235","936","1021","183.62098645489","851","1276","1800","1666.6666666667","262.46692913373","1300","1900","3894066","3894937.6666667","1256.8411019519","3894032","3896715","201","202","1.4142135623731","201","204","9305","9119","592.8524268315","8318","9734","3658","3769.6666666667","675.3835124497","3004","4647","8300","8066.6666666667","953.35664307167","6800","9100","8300","8066.6666666667","953.35664307167","6800","9100","211103_CE_X"
"","http://shaparak.ir","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211103_6R_Y"
"","http://marketwatch.com","1","4915","4915","0","4915","4915","7029","7029","0","7029","7029","586","586","0","586","586","800","800","0","800","800","2036440","2036440","0","2036440","2036440","94","94","0","94","94","4915","4915","0","4915","4915","3675","3675","0","3675","3675","5100","5100","0","5100","5100","5100","5100","0","5100","5100","211103_GG_Z"
"","http://docusign.net","3","4555","4678.3333333333","235.55938152029","4472","5008","5000","5097","197.24603925048","4919","5372","1635","1608","51.439284598447","1536","1653","4400","4533.3333333333","262.46692913373","4300","4900","1040512","1040512","0","1040512","1040512","20","20","0","20","20","2927","3059.6666666667","212.84788517207","2892","3360","4402","4535","262.00127226154","4302","4901","4500","4633.3333333333","262.46692913373","4400","5000","4500","4633.3333333333","262.46692913373","4400","5000","211103_AV_10"
"","http://zendesk.com","3","4227","4482.6666666667","362.98239932843","4225","4996","6723","6982","454.53346044782","6602","7621","450","474.33333333333","34.412530017745","450","523","4400","4600","355.90260840104","4300","5100","1851870","1975266.3333333","175337.44190433","1850699","2223230","51","54.333333333333","6.9442222186666","48","64","4227","4482.3333333333","363.2192481439","4224","4996","4891","5077.3333333333","317.28255896318","4817","5524","5600","5866.6666666667","377.12361663283","5600","6400","5600","5866.6666666667","377.12361663283","5600","6400","211103_8H_11"
"","http://bukalapak.com","3","4413","4099.3333333333","580.85932509994","3285","4600","11329","12254.666666667","1660.8580780896","10848","14587","627","648","40.008332465459","613","704","1000","1033.3333333333","47.140452079103","1000","1100","2007251","1790153.3333333","312680.01471828","1347981","2015228","142","124.66666666667","25.940101944458","88","144","4412","4099","580.67948703796","3285","4600","3773","3852.3333333333","180.40756328073","3682","4102","10800","11733.333333333","1463.6332266733","10600","13800","10800","11733.333333333","1463.6332266733","10600","13800","211103_DT_12"
"","http://dailymotion.com","3","742","1707","1368.2531442195","737","3642","1155","2594.3333333333","2040.4764694115","1148","5480","554","626.66666666667","103.4740976713","553","773","0","1266.6666666667","1791.3371790059","0","3800","28576","480851.66666667","639620.74570292","28567","1385412","5","16.333333333333","16.027753706895","5","39","742","1707.3333333333","1368.7245482159","737","3643","0","1341","1896.4603871423","0","4023","0","1766.6666666667","2498.4439601925","0","5300","0","1766.6666666667","2498.4439601925","0","5300","211103_FA_13"
"","http://coinmarketcap.com","3","4426","4384.6666666667","118.77803762574","4223","4505","4588","4580.6666666667","69.595657591229","4492","4662","241","242.33333333333","13.912424503139","226","260","800","800","0","800","800","2007070","2007502.6666667","25352.431892994","1976671","2038767","144","145","3.7416573867739","141","150","4427","4384.6666666667","118.55893986631","4223","4504","1914","1860","88.660400781108","1735","1931","4000","4033.3333333333","449.69125210773","3500","4600","4000","4033.3333333333","449.69125210773","3500","4600","211103_VH_14"
"","http://aol.com","3","2514","2478.6666666667","71.46249987853","2379","2543","3312","3292.3333333333","100.98294685518","3160","3405","2049","1986.3333333333","101.61802114892","1843","2067","2300","2266.6666666667","47.140452079103","2200","2300","157722","157723.33333333","7.4087035902976","157715","157733","13","13","0","13","13","2514","2479","70.997652543353","2380","2543","2331","2303","50.576674465607","2232","2346","2500","2500","81.649658092773","2400","2600","2500","2500","81.649658092773","2400","2600","211103_Y5_15"
"","http://scribd.com","3","3664","3703","72.787361540311","3640","3805","4070","4060.6666666667","25.368396787254","4026","4086","436","442.33333333333","19.703355608176","422","469","1100","1133.3333333333","47.140452079103","1100","1200","1469525","1469532.3333333","50.887675871035","1469474","1469598","116","116","0","116","116","3664","3703","72.787361540311","3640","3805","1833","1840.6666666667","21.514852750807","1819","1870","2700","2666.6666666667","47.140452079103","2600","2700","2700","2666.6666666667","47.140452079103","2600","2700","211103_AR_16"
