"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","http://github.com","3","7117","7862","1408.9875797891","6634","9835","7014","8789.6666666667","2853.6440251409","6539","12816","285","271","21.228911104121","241","287","3800","4700","1416.5686240584","3600","6700","2599439","2626128.6666667","37942.342330905","2599160","2679787","121","121.66666666667","1.6996731711976","120","124","7088","7827.6666666667","1409.8563362587","6594","9801","3948","4887.6666666667","1479.1376616875","3739","6976","9200","10166.666666667","1510.70255915","9000","12300","7100","7900","1423.6104336042","6700","9900","211026_JK_H"
"","http://wetransfer.com","3","4661","4682","31.1234102673","4659","4726","7416","7432.6666666667","59.957392278925","7369","7513","484","514","45.284287193978","480","578","2800","2833.3333333333","47.140452079103","2800","2900","1996226","1996194","45.963753835677","1996129","1996227","34","34","0","34","34","4633","4641.3333333333","38.42163742245","4599","4692","4183","4200.6666666667","51.745101754229","4148","4271","4700","4733.3333333333","47.140452079103","4700","4800","4700","4733.3333333333","47.140452079103","4700","4800","211026_J8_J"
"","http://zillow.com","3","3165","4580.3333333333","2465.0162045895","2529","8047","15762","15748.333333333","641.43086576462","14956","16527","1060","938.66666666667","232.0019157009","614","1142","1400","1233.3333333333","309.12061651652","800","1500","560257","555851","6534.5671624064","546613","560683","41","41","1.6329931618555","39","43","3081","4519.6666666667","2467.2968114022","2486","7992","2319","2424.3333333333","733.73807012827","1583","3371","3400","4833.3333333333","2463.5114955869","2800","8300","3400","4833.3333333333","2463.5114955869","2800","8300","211026_QS_K"
"","http://amazon.co.uk","3","3718","3763","81.203448202647","3694","3877","5451","6412","1668.6247830674","5026","8759","803","823.33333333333","66.484751802366","754","913","1700","1766.6666666667","169.96731711976","1600","2000","1415451","1407405","63331.248674463","1326131","1480633","108","111","6.4807406984079","105","120","3659","3681","67.941151005852","3611","3773","1939","1990","148.55526468849","1839","2192","7500","7466.6666666667","124.72191289246","7300","7600","7500","7466.6666666667","124.72191289246","7300","7600","211026_B8_M"
"","http://xvideos.com","3","3991","4028","120.05276617666","3903","4190","4268","4274.6666666667","114.40668201154","4138","4418","432","428","25.468935326524","395","457","1700","1700","81.649658092773","1600","1800","1405814","1469805.6666667","139800.65346612","1339798","1663805","78","77.666666666667","2.0548046676563","75","80","3957","3997","121.72373091007","3872","4162","1977","2013","118.70411394163","1889","2173","6000","5933.3333333333","94.280904158206","5800","6000","4000","4033.3333333333","124.72191289246","3900","4200","211026_2Q_N"
"","http://imgur.com","3","8816","9238.3333333333","938.36181129077","8360","10539","10132","10866.666666667","1725.3069936166","9219","13249","341","350","16.391054470859","336","373","2500","2400","535.41261347363","1700","3000","3365822","3369241","4935.9457722575","3365680","3376221","128","128.33333333333","1.2472191289246","127","130","8782","9209","942.51047739534","8329","10516","4709","4258.6666666667","669.65778988641","3312","4755","9000","9400","941.62979278837","8500","10700","8800","9300","1003.3277962195","8400","10700","211026_0C_P"
"","http://walmart.com","3","6432","6881.6666666667","731.98649046429","6299","7914","8473","8793.6666666667","697.60749868549","8146","9762","1487","1525.3333333333","75.649777850889","1458","1631","2300","2333.3333333333","47.140452079103","2300","2400","2130911","2107545","33137.896010459","2060681","2131043","90","89.666666666667","0.47140452079103","89","90","6397","6841","726.93924551276","6260","7866","2302","2334","46.676189504571","2300","2400","5900","5900","81.649658092773","5800","6000","2400","2366.6666666667","47.140452079103","2300","2400","211026_NP_Q"
"","http://rednet.cn","3","62711","63273.666666667","1312.6231582429","62023","65087","63608","63691.666666667","1438.6591751427","61973","65494","1605","1702.6666666667","363.83176820552","1314","2189","5700","5500","1801.8509002319","3200","7600","12804068","12782272.333333","33372.68919674","12735121","12807628","200","199.66666666667","1.2472191289246","198","201","62672","63230.333333333","1308.1942601243","61982","65037","30784","31232.666666667","1296.0188613168","29918","32996","62100","62666.666666667","1020.8928554076","61800","64100","61800","62533.333333333","1108.5526098877","61700","64100","211026_ZB_R"
"","http://grammarly.com","3","8030","8715","993.58777501873","7995","10120","7984","9593.6666666667","2286.3190697908","7970","12827","806","820.66666666667","29.63481436119","794","862","2600","3266.6666666667","1014.3416036469","2500","4700","1829935","1829932.3333333","23.753362335093","1829902","1829960","78","78","0","78","78","8006","8686","987.23046954599","7970","10082","4175","4888.3333333333","1008.8056744928","4175","6315","10400","11066.666666667","1014.3416036469","10300","12500","10300","11000","989.94949366117","10300","12400","211026_PW_S"
"","http://google.it","3","1790","1929","205.83650469892","1777","2220","1844","1960.3333333333","202.40608247338","1792","2245","620","690.66666666667","102.77915914988","616","836","1100","1200","216.02468994693","1000","1500","152683","152814.33333333","197.87594317877","152666","153094","19","19","0","19","19","1750","1896.3333333333","211.20343010683","1744","2195","1109","1231.6666666667","191.42680643583","1084","1502","1400","1466.6666666667","169.96731711976","1300","1700","1400","1466.6666666667","169.96731711976","1300","1700","211026_93_T"
"","http://savefrom.net","3","2843","2798","155.56563459411","2589","2962","4933","4879.6666666667","195.54766398218","4618","5088","382","401.33333333333","42.279493321888","362","460","2000","1866.6666666667","188.56180831641","1600","2000","574568","579071","7485.0815626819","573026","589619","67","67","0","67","67","2801","2753","162.79434879627","2534","2924","2259","2154.6666666667","253.08277082585","1806","2399","4400","4366.6666666667","205.48046676563","4100","4600","4400","4366.6666666667","205.48046676563","4100","4600","211026_XN_V"
"","http://pikiran-rakyat.com","3","13725","20192","11582.708059862","10392","36459","27806","30591","11179.152472348","18506","45461","1746","1659.6666666667","887.59237390946","532","2701","4500","5400","1344.1230102437","4400","7300","2768593","2714116","1332467.3858165","1055627","4318128","201","238.66666666667","136.92901648502","93","422","13682","20146.333333333","11581.213532652","10346","36411","8303","9710.3333333333","3571.5394751034","6213","14615","15300","24333.333333333","13632.396055801","14100","43600","15300","23766.666666667","14074.168615667","12400","43600","211026_T1_W"
"","http://bbc.com","3","8676","10147","2681.1170557562","7856","13909","9516","11229","2464.3848454871","9457","14714","393","426.66666666667","60.785597709399","375","512","1300","1300","81.649658092773","1200","1400","2540844","2540849.3333333","385.40483765631","2540380","2541324","122","122.33333333333","0.47140452079103","122","123","8629","10103.666666667","2686.2620042646","7809","13873","4129","4638.3333333333","998.81474202621","3752","6034","8700","9966.6666666667","2379.5424396766","7900","13300","8500","9766.6666666667","2229.1004663067","7900","12900","211026_7T_X"
"","http://stackoverflow.com","3","2084","2077.6666666667","68.324389658615","1991","2158","2368","2376.6666666667","59.106307240053","2309","2453","487","497","18.547236990991","481","523","1500","1533.3333333333","47.140452079103","1500","1600","608479","605522.33333333","4182.7723926708","599607","608481","48","47.666666666667","1.2472191289246","46","49","2006","2027.3333333333","65.448877420133","1960","2116","1534","1568","49.504208575299","1532","1638","4600","4566.6666666667","47.140452079103","4500","4600","4500","4533.3333333333","47.140452079103","4500","4600","211026_PS_Y"
"","http://intuit.com","3","13248","14959","2425.3784584404","13240","18389","16513","19300.666666667","4389.5274106547","15891","25498","396","446.66666666667","80.288369159065","384","560","3100","2766.6666666667","543.65021434334","2000","3200","2026758","2029728","5522.1191584391","2024958","2037468","184","183.66666666667","0.47140452079103","183","184","13216","14925.333333333","2425.8526107101","13204","18356","3274","2942.3333333333","541.29987581336","2179","3374","3900","4033.3333333333","262.46692913373","3800","4400","3400","3133.3333333333","601.84900284226","2300","3700","211026_PA_Z"
