"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","http://chinanetrank.com","3","5853","6333.3333333333","885.45368157924","5572","7575","6249","6726.3333333333","885.01952269741","5963","7967","1086","1491.3333333333","595.28275261052","1055","2333","2600","3066.6666666667","731.81661333667","2500","4100","244993","244993","0","244993","244993","28","28","0","28","28","5804","6281.6666666667","892.28408530517","5509","7532","2642","3122.6666666667","721.88657157633","2583","4143","3000","3500","707.10678118655","3000","4500","3000","3500","707.10678118655","3000","4500","211111_CW_R"
"","http://genius.com","3","14887","14811","553.74904063122","14098","15448","17530","17495","667.12867324577","16661","18294","417","438","122.15563842901","300","597","700","666.66666666667","124.72191289246","500","800","1163827","1158631","8286.7050548856","1146936","1165130","79","79.666666666667","2.4944382578493","77","83","14851","14776","550.83633382945","14067","15410","10947","10818.666666667","246.34979647287","10474","11035","14900","14833.333333333","169.96731711976","14600","15000","14900","14833.333333333","169.96731711976","14600","15000","211111_AP_S"
"","http://ticketmaster.com","3","2905","5307.6666666667","3522.352086635","2730","10288","2863","6078.6666666667","4669.7897406866","2691","12682","2109","2005.6666666667","279.17537299857","1624","2284","2400","2333.3333333333","94.280904158206","2200","2400","329271","1738793.6666667","1994762.0632462","327297","4559813","19","77","82.02438661764","19","193","1430","4314.3333333333","4182.7256132282","1284","10229","2555","2863.3333333333","590.7951327566","2345","3690","3000","5466.6666666667","3630.7330144507","2800","10600","3000","5466.6666666667","3630.7330144507","2800","10600","211111_FC_T"
"","http://taleo.net","3","4706","5449","1106.3733547045","4628","7013","10042","10349","1738.4558282184","8390","12615","250","246.66666666667","10.873004286867","232","258","2200","2300","216.02468994693","2100","2600","1506021","1512599","12721.649971604","1501386","1530390","94","94.333333333333","3.6817870057291","90","99","3275","3942","1212.0844305025","2908","5643","3348","3322.3333333333","70.551793425508","3226","3393","5100","5300","355.90260840104","5000","5800","5100","5300","355.90260840104","5000","5800","211111_8D_V"
"","http://asos.com","3","8964","9113.6666666667","2541.9166434449","6078","12299","20985","21000.333333333","1325.2183048674","19385","22631","273","280.66666666667","12.283683848459","271","298","500","566.66666666667","94.280904158206","500","700","2214716","2212681.3333333","7811.9616543407","2202260","2221068","164","160.33333333333","6.64997911442","151","166","6357","6315","2766.4498308602","2906","9682","1271","1594","457.49826957778","1270","2241","1600","5666.6666666667","5751.1351536506","1600","13800","1600","5666.6666666667","5751.1351536506","1600","13800","211111_ZZ_W"
"","http://google.az","3","810","883","122.08467007232","784","1055","807","883","108.18810778762","806","1036","198","201.66666666667","20.17148702721","179","228","500","600","141.42135623731","500","800","150310","150730","1965.8246785171","148560","153320","19","19","0","19","19","774","852","121.79764639215","758","1024","501","601","141.42135623731","501","801","600","700","141.42135623731","600","900","600","700","141.42135623731","600","900","211111_QZ_X"
"","http://kontan.co.id","3","43132","43201","453.74515608066","42683","43788","49343","49683","4856.7603056633","43912","55794","1090","1094","7.8740078740118","1087","1105","8100","8466.6666666667","1774.5108872275","6500","10800","4476981","4876851.6666667","1114223.3688408","3756818","6396756","438","460","35.440090293339","432","510","43057","43124.666666667","453.64474598033","42606","43711","16192","15719.666666667","2464.4694267845","12493","18474","44000","43266.666666667","2423.9545283597","40000","45800","44000","43266.666666667","2423.9545283597","40000","45800","211111_XA_Y"
"","http://crunchyroll.com","3","5873","5934.3333333333","523.54072323831","5326","6604","6851","6903","514.07651829924","6301","7557","868","968.33333333333","300.39566500793","661","1376","3500","3833.3333333333","771.72246018602","3100","4900","1658803","1645375","27987.776057891","1606416","1670906","164","164","2.4494897427832","161","167","5661","5766.3333333333","528.64754063764","5178","6460","4931","4845.6666666667","181.77152936829","4593","5013","5900","6300","787.40078740118","5600","7400","5900","6300","787.40078740118","5600","7400","211111_HW_Z"
"","http://issuu.com","3","8337","9527.3333333333","2084.4232349075","7787","12458","17458","17307","2664.3274323301","13971","20492","554","542.33333333333","16.499158227686","519","554","6200","6733.3333333333","2075.7863302587","4500","9500","8333453","8350691.3333333","24394.24279529","8333431","8385190","93","93.333333333333","0.47140452079103","93","94","8305","9499","2088.8317308965","7756","12436","6231","6931","2316.8202347183","4509","10053","6300","7000","2299.2752481307","4600","10100","6300","7000","2299.2752481307","4600","10100","211111_KC_10"
"","http://marriott.com","3","19556","19988","1186.3625078365","18800","21608","24070","24694","1682.0971038161","23018","26994","172","165.66666666667","16.539514973407","143","182","2300","2366.6666666667","169.96731711976","2200","2600","4589821","4592772.3333333","9747.1943769591","4582587","4605909","283","281.33333333333","3.0912061651652","277","284","19436","19878","1187.4151197735","18696","21502","4393","4288","569.46817294736","3544","4927","13000","15233.333333333","3445.1253807211","12600","20100","13000","15233.333333333","3445.1253807211","12600","20100","211111_W4_11"
