Data,Browser,Link,
Top1-30,Chrome,https://webpagetest.wedos.com/results.php?test=211011_KZ_32,
Top1-100Tranco,Chrome,https://webpagetest.wedos.com/results.php?test=211011_N6_76,
,,,
Top1-100,Firefox,https://webpagetest.wedos.com/results.php?test=211021_QA_H,First View: Test Error: Error starting Firefox: Timed out waiting for connection on localhost:2828!
Top1-100,Firefox Nightly,https://webpagetest.wedos.com/results.php?test=211023_0C_D,First View: Test Error: Unhandled exception running test: [Errno 24] Too many open files
Top101-200,Chrome,https://webpagetest.wedos.com/results.php?test=211023_F1_3J,First View: Test Error: Unhandled exception running test: [Errno 24] Too many open files
,,,
Top1-100,Chrome,https://webpagetest.wedos.com/results.php?test=211011_G1_41,
Top101-180,Chrome,https://webpagetest.wedos.com/results.php?test=211025_4T_44,
Top180-300,Chrome,https://webpagetest.wedos.com/results.php?test=211025_E3_6N,
,,,
Top1-100,Firefox,https://webpagetest.wedos.com/results.php?test=211025_9K_V,
Top101-180,Firefox,https://webpagetest.wedos.com/results.php?test=211026_MZ_G,
Top181-300,Firefox,https://webpagetest.wedos.com/results.php?test=211026_51_31,
